	Confirmed derivation	NEW SUFFIX	Zero	Derivation_Direction	V literal	N literal	Morphosemantic relation	V synset	V gloss	N synset	N gloss	MS - in standoff files / NEW_LIT_PAIR_REL - new pair of literals in already connected synsets / NEW_PAIR_REL - new pair of literals in unconnected synsets
18848	Y		TRUE		people	people	undergoer	eng-30-00451461-v	fill with people	eng-30-08160276-n	the body of citizens of a state or country	NEW_PAIR_REL
18850	Y		TRUE		discord	discord	event	eng-30-02718543-v	be different from one another	eng-30-01170175-n	strife resulting from a lack of agreement	NEW_LIT_PAIR_KNOWN_REL
18851	Y		TRUE	ZeroV	place	place		eng-30-00659776-v	take a place in a competition; often followed by an ordinal	eng-30-06483454-n	an item on a list or in a sequence	NEW_PAIR_REL
18852	Y	ify	FALSE		acetify	acetum	result	eng-30-02196690-v	make sour or more sour	eng-30-07828987-n	sour-tasting liquid produced usually by oxidation of the alcohol in wine or cider and used as a condiment or food preservative	NEW_PAIR_REL
18853	Y	ing	FALSE		stain	staining	event	eng-30-01537409-v	make dirty or spotty, as by exposure to air; also used metaphorically	eng-30-00276813-n	the act of spotting or staining something	NEW_LIT_PAIR_KNOWN_REL
18855	Y	y	FALSE		telegraph	telegraphy	by-means-of	eng-30-01007222-v	send cables, wires, or telegrams	eng-30-04400499-n	apparatus used to communicate at a distance over a wire (usually in Morse code)	NEW_LIT_PAIR_KNOWN_REL
18857	Y	ise	FALSE		concertise	concert	result	eng-30-01716407-v	give concerts; perform in concerts	eng-30-06892775-n	a performance of music by players or singers not involving theatrical staging	NEW_PAIR_REL
18858	Y	ion	FALSE		abstract	abstraction	undergoer	eng-30-00734587-v	consider apart from a particular case or instance	eng-30-05854150-n	a concept or idea not associated with any specific instance	NEW_LIT_PAIR_KNOWN_REL
18860	Y		TRUE		rail	rails	by-means-of	eng-30-01503268-v	lay with rails	eng-30-04463679-n	a bar or pair of parallel bars of rolled steel making the railway along which railroad cars or other vehicles can roll	NEW_LIT_PAIR_KNOWN_REL
18861	Y	ing	FALSE		bandage	bandaging	event	eng-30-01303547-v	wrap around with something so as to cover or enclose	eng-30-00696882-n	the act of applying a bandage	NEW_PAIR_REL
18862	Y		TRUE		produce	product	result	eng-30-01621555-v	create or manufacture a man-made product	eng-30-03748886-n	commodities offered for sale	NEW_PAIR_REL
18864	Y	ing	FALSE		pine	pining		eng-30-01805684-v	have a desire for something or someone who is not present	eng-30-07487063-n	a feeling of deep longing	NEW_PAIR_REL
18865	Y	ing	FALSE		blue	bluing	event	eng-30-00521641-v	turn blue	eng-30-13439935-n	a process that makes something blue (or bluish)	NEW_PAIR_REL
18866	Y	ance	FALSE		hinder	hinderance	by-means-of	eng-30-01085474-v	put at a disadvantage	eng-30-05689249-n	something immaterial that interferes with or delays action or progress	NEW_LIT_PAIR_KNOWN_REL
18869	Y	isation	FALSE		enthrone	enthronisation	event	eng-30-02386388-v	provide with power and authority	eng-30-07453638-n	the ceremony of installing a new monarch	NEW_LIT_PAIR_KNOWN_REL
18871	Y	ing	FALSE		offer	offering	event	eng-30-02297142-v	present for acceptance or rejection	eng-30-07185076-n	the verbal act of offering	NEW_LIT_PAIR_KNOWN_REL
18872	Y	ant	FALSE		adulterate	adulterant	agent?	eng-30-00487748-v	corrupt, debase, or make impure by adding a foreign or inferior substance; often by replacing valuable ingredients with inferior ones	eng-30-14616939-n	any substance that lessens the purity or effectiveness of a substance	NEW_LIT_PAIR_KNOWN_REL
18873	Y	ise	FALSE		alcoholise	alcohol	by-means-of	eng-30-00139908-v	treat or infuse with alcohol	eng-30-07884567-n	a liquor or brew containing alcohol as the active agent	NEW_PAIR_REL
18874	Y	ation	FALSE		canulate	canulisation	event	eng-30-01422172-v	introduce a cannula or tube into	eng-30-00321195-n	the insertion of a cannula or tube into a hollow body organ	NEW_LIT_PAIR_KNOWN_REL
18875	Y	ant	FALSE		assail	assailant	agent	eng-30-01120069-v	attack someone physically or emotionally	eng-30-09821253-n	someone who attacks	NEW_LIT_PAIR_KNOWN_REL
18876	Y		TRUE		delegate	delegate	undergoer	eng-30-02395395-v	transfer power to someone	eng-30-10000787-n	a person appointed or elected to represent others	NEW_PAIR_REL
18877	Y	ing	FALSE		handle	handling	event	eng-30-02436349-v	be in charge of, act on, or dispose of	eng-30-01134861-n	the management of someone or something	NEW_PAIR_REL
18878	Y	ence	FALSE		neglect	negligence	property	eng-30-00616153-v	fail to attend to	eng-30-04665813-n	the trait of neglecting responsibilities and lacking concern	NEW_LIT_PAIR_KNOWN_REL
18879	Y	ate	FALSE		pulsate	pulse	event	eng-30-01623027-v	produce or modulate (as electromagnetic waves) in the form of short bursts or pulses or cause an apparatus to produce pulses	eng-30-07420991-n	(electronics) a sharp transient wave in the normal electrical state (or a series of such transients)	NEW_LIT_PAIR_KNOWN_REL
18880	Y	ing	FALSE		play	playing	event	eng-30-00013328-v	engage in an activity as if it were a game rather than take it seriously	eng-30-00041188-n	the action of taking part in a game or sport or other recreation	NEW_PAIR_REL
18881	YES	ation	FALSE		strangle	strangulation	event	eng-30-00077950-v	constrict (someone's) throat and keep from breathing	eng-30-00225786-n	the act of suffocating (someone) by constricting the windpipe	NEW_PAIR_REL
18885	Y		TRUE	ZeroV	lamb	lamb	NA	eng-30-00058265-v	give birth to a lamb	eng-30-07667151-n	the flesh of a young domestic sheep eaten as food	NEW_PAIR_REL
18887	Y	ing	FALSE		tack	tacking	event	eng-30-00121678-v	reverse (a direction, attitude, or course of action)	eng-30-00351334-n	(nautical) the act of changing tack	NEW_LIT_PAIR_KNOWN_REL
18888	Y		TRUE		gazette	gazette	by-means-of	eng-30-01746604-v	publish in a gazette	eng-30-06267655-n	a newspaper or official journal	NEW_PAIR_REL
18889	Y	ing	FALSE		electioneer	electioneering	event	eng-30-02414473-v	work actively for a political candidate or a party	eng-30-07245885-n	persuasion of voters in a political campaign	NEW_PAIR_REL
18890	Y		TRUE	ZeroV	fate	fate	by-means-of	eng-30-00746479-v	decree or designate beforehand	eng-30-09504915-n	the ultimate agency regarded as predetermining the course of events (often personified as a woman)	NEW_PAIR_REL
18891	Y		TRUE		earth	earth	location	eng-30-01292727-v	connect to the earth	eng-30-14842992-n	the loose soft material that makes up a large part of the land surface	NEW_PAIR_REL
18892	Y	ation	FALSE		vary	variation	location?	eng-30-02662297-v	be subject to change in accordance with a variable	eng-30-13893310-n	the angle (at a particular location) between magnetic north and true north	NEW_PAIR_REL
18895	Y	ing	FALSE		open	opening		eng-30-02425462-v	begin or set in action, of meetings, speeches, recitals, etc.	eng-30-07452699-n	a ceremony accompanying the start of some enterprise	NEW_PAIR_REL
18898	Y		TRUE		conjecture	conjecture	result	eng-30-00633443-v	to believe especially on uncertain or tentative grounds	eng-30-06782680-n	a message expressing an opinion based on incomplete evidence	NEW_PAIR_REL
18900	Y	ing	FALSE		grow	growing	event	eng-30-00250181-v	develop and reach maturity; undergo maturation	eng-30-13489037-n	(biology) the process of an individual organism growing organically; a purely biological unfolding of events involved in an organism changing gradually from a simple to a more complex level	NEW_PAIR_REL
18901	Y		TRUE	ZeroV	value	value		eng-30-00681429-v	evaluate or estimate the nature, quality, ability, extent, or significance of	eng-30-05138488-n	the quality (positive or negative) that renders something desirable or valuable	NEW_PAIR_REL
18902	Y	ise	FALSE		caponise	capon	result	eng-30-00061079-v	convert a cock into a capon	eng-30-01792530-n	castrated male chicken	NEW_PAIR_REL
18904	Y	ing	FALSE		render	rendering	uses	eng-30-01732172-v	give an interpretation or rendition of	eng-30-05766247-n	an explanation of something that is not immediately obvious	NEW_LIT_PAIR_KNOWN_REL
18905	Y	ise	FALSE		attitudinise	attitude	result	eng-30-02519494-v	assume certain affected attitudes	eng-30-00755863-n	a theatrical pose created for effect	NEW_PAIR_REL
18906	Y	ing	FALSE		see	seeing	event	eng-30-02129289-v	perceive by sight or have the power to perceive by sight	eng-30-05710860-n	perception by means of the eyes	NEW_PAIR_REL
18907	Y	ing	FALSE		flirt	flirting	event	eng-30-02437465-v	behave carelessly or indifferently	eng-30-00512522-n	playful behavior intended to arouse sexual interest	NEW_LIT_PAIR_KNOWN_REL
18908	Y	ing	FALSE		bathe	bathing	event	eng-30-00037919-v	clean one's body by immersion into water	eng-30-00427853-n	immersing the body in water or sunshine	NEW_PAIR_REL
18909	YB	?	FALSE		reunite	reunion	event	eng-30-02470893-v	unify again, as of a country	eng-30-00382474-n	the act of coming together again	NEW_LIT_PAIR_KNOWN_REL
18913	Y	ing	FALSE		tumble	tumbling	event	eng-30-00100235-v	do gymnastics, roll and turn skillfully	eng-30-00434075-n	the gymnastic moves of an acrobat	NEW_PAIR_REL
18916	Y	ing	FALSE		babble	babbling	result	eng-30-01065630-v	utter meaningless sounds, like a baby, or utter in an incoherent way	eng-30-06610143-n	gibberish resembling the sounds of a baby	NEW_LIT_PAIR_KNOWN_REL
18917	Y	ing	FALSE		play	playing	event	eng-30-01726172-v	perform music on (a musical instrument)	eng-30-00101191-n	the act of playing a musical instrument	NEW_PAIR_REL
18918	Y	ate	FALSE		accentuate	accent	result	eng-30-01013367-v	to stress, single out as important	eng-30-14434866-n	special importance or significance	NEW_LIT_PAIR_KNOWN_REL
18919	Y		TRUE		prolapse	prolapsus	event	eng-30-01833906-v	slip or fall out of place, as of body parts	eng-30-14559208-n	the slipping or falling out of place of an organ (as the uterus)	NEW_LIT_PAIR_KNOWN_REL
18921	Y	ure	FALSE		close	closure	event	eng-30-02425913-v	finish or terminate (meetings, speeches, etc.)	eng-30-00229260-n	termination of operations	NEW_PAIR_REL
18922	Y		TRUE	ZeroN	walk	walk	property	eng-30-01882170-v	take a walk; go for a walk; walk for pleasure	eng-30-05003090-n	manner of walking	NEW_PAIR_REL
18923	Y	y	FALSE		depute	deputy	undergoer	eng-30-02394445-v	appoint as a substitute	eng-30-10005280-n	an assistant with power to act when his superior is absent	NEW_PAIR_REL
18925	Y	ing	FALSE		mine	mining	event	eng-30-01125724-v	lay mines	eng-30-00961962-n	laying explosive mines in concealed places to destroy enemy personnel and equipment	NEW_PAIR_REL
18926	Y	age	FALSE		wharf	wharfage	uses	eng-30-02281960-v	store on a wharf	eng-30-03933529-n	a platform built out from the shore into the water and supported by piles; provides access to ships and boats	NEW_LIT_PAIR_KNOWN_REL
18928	Y	ing	FALSE		grapple	grappling	event	eng-30-01574292-v	to grip or seize, as in a wrestling match	eng-30-00447540-n	the sport of hand-to-hand struggle between unarmed contestants who try to throw each other down	NEW_PAIR_REL
18929	YB	ise	FALSE		sensitise	sense	result	eng-30-00272391-v	make sensitive or aware	eng-30-05677504-n	a general conscious awareness	NEW_LIT_PAIR_KNOWN_REL
18936	Y	ice	FALSE		serve	service	event	eng-30-01077568-v	put the ball into play	eng-30-00568430-n	(sports) a stroke that puts the ball in play	NEW_LIT_PAIR_KNOWN_REL
18938	Y	ate	FALSE		originate	origin	event	eng-30-02624263-v	come into existence; take on form or shape	eng-30-07323922-n	an event that is a beginning; a first part or stage of subsequent events	NEW_LIT_PAIR_KNOWN_REL
18939	Y	ise	FALSE		energise	energy	property	eng-30-00559102-v	raise to a higher energy level	eng-30-14050143-n	a healthy capacity for vigorous activity	NEW_PAIR_REL
18940	Y	ing	FALSE		play	playing	event	eng-30-02418686-v	be at play; be engaged in playful activity; amuse oneself in a way characteristic of children	eng-30-00041188-n	the action of taking part in a game or sport or other recreation	NEW_PAIR_REL
18941	YB	ise	FALSE		psychoanalyse	psychoanalysis	by-means-of?	eng-30-00643197-v	subject to psychoanalytic treatment	eng-30-00704305-n	a set of techniques for exploring underlying motives and a method of treating various mental disorders; based on the theories of Sigmund Freud	NEW_PAIR_REL
18942	Y	ing	FALSE		order	ordering	event	eng-30-00276883-v	place in a certain order	eng-30-01009871-n	the act of putting things in a sequential arrangement	NEW_LIT_PAIR_KNOWN_REL
18943	Y		TRUE		dwarf	dwarf	property	eng-30-02452614-v	check the growth of	eng-30-10040344-n	a person who is markedly small	NEW_PAIR_REL
18944	Y		TRUE		blot	blot	result	eng-30-01531998-v	make a spot or mark onto	eng-30-04694441-n	a blemish made by dirt	NEW_LIT_PAIR_KNOWN_REL
18946	Y		TRUE	ZeroV	tube	tube	location?	eng-30-01580928-v	place or enclose in a tube	eng-30-04493505-n	conduit consisting of a long hollow object (usually cylindrical) used to hold and conduct objects or liquids or gases	NEW_PAIR_REL
18948	Y	ise	FALSE		spiritise	spirit	by-means-of	eng-30-01229631-v	imbue with a spirit	eng-30-10636598-n	the vital principle or animating force within living things	NEW_PAIR_REL
18949	Y	ing	FALSE		feel	feeling	event	eng-30-02730471-v	be felt or perceived in a certain way	eng-30-14526182-n	the general atmosphere of a place or situation and the effect that it has on people	NEW_LIT_PAIR_KNOWN_REL
18950	Y	ing	FALSE		sneeze	sneezing	event	eng-30-00004819-v	exhale spasmodically, as when an irritant entered one's nose	eng-30-14314850-n	a symptom consisting of the involuntary expulsion of air from the nose	NEW_LIT_PAIR_KNOWN_REL
18954	Y	age	FALSE		stop	stoppage	event	eng-30-01860795-v	come to a halt, stop moving	eng-30-14010927-n	the state of inactivity following an interruption	NEW_LIT_PAIR_KNOWN_REL
18955	Y	ing	FALSE		load	loading	event	eng-30-01612084-v	put (something) on a structure or conveyance	eng-30-00713952-n	the labor of putting a load of something on or in a vehicle or ship or container etc.	NEW_PAIR_REL
18958	Y	ise	FALSE		patronise	patron	agent	eng-30-00908621-v	be a regular customer or client of	eng-30-10407954-n	someone who supports or champions something	NEW_LIT_PAIR_KNOWN_REL
18960	Y	ise	FALSE		epitomise	epitome	property	eng-30-02699141-v	embody the essential characteristics of or be a typical example of	eng-30-05937524-n	a standard or typical example	NEW_PAIR_REL
18962	Y	ise	FALSE		channelise	channel	location	eng-30-01435380-v	send from one person or place to another	eng-30-05250659-n	a bodily passage or tube lined with epithelial cells and conveying a secretion or other substance	NEW_PAIR_REL
18966	Y	ion	FALSE		disorientate	disorientation	event	eng-30-02159741-v	cause to be lost or disoriented	eng-30-05684003-n	confusion (usually transient) about where you are and how to proceed; uncertainty as to direction	NEW_LIT_PAIR_KNOWN_REL
18970	Y	ing	FALSE		erode	eroding	event	eng-30-00274724-v	remove soil or rock	eng-30-13475538-n	(geology) the mechanical process of wearing or grinding something down (as by particles washing over it)	NEW_LIT_PAIR_KNOWN_REL
18971	Y	ency	FALSE		reside	residency	event	eng-30-02648639-v	live (in a certain place)	eng-30-01053920-n	the act of dwelling in a place	NEW_LIT_PAIR_KNOWN_REL
18972	Y		TRUE	ZeroV	siphon	siphon	instrument	eng-30-01853542-v	convey, draw off, or empty by or as if by a siphon	eng-30-04224155-n	a tube running from the liquid in a vessel to a lower level outside the vessel so that atmospheric pressure forces the liquid through the tube	NEW_LIT_PAIR_KNOWN_REL
18974	Y	ing	FALSE		roar	roaring	event	eng-30-01046059-v	make a loud noise, as of wind, water, or vehicles	eng-30-07377682-n	a deep prolonged loud noise	NEW_LIT_PAIR_KNOWN_REL
18975	Y	ise	FALSE		allegorise	allegory	by-means-of	eng-30-00135285-v	make into an allegory	eng-30-06880664-n	a visible symbol representing an abstract idea	NEW_PAIR_REL
18976	Y	er	FALSE		connect	connecter	instrument	eng-30-01421122-v	plug into an outlet	eng-30-03091374-n	an instrumentality that connects	NEW_LIT_PAIR_KNOWN_REL
18978	Y		TRUE	ZeroN	wrap	wrap	undergoer	eng-30-01283208-v	arrange or fold as a cover or protection	eng-30-04605446-n	cloak that is folded or wrapped around a person	NEW_LIT_PAIR_KNOWN_REL
18979	Y	ing	FALSE		plunder	plundering	event	eng-30-02345048-v	plunder (a town) after capture	eng-30-00965895-n	the act of stealing valuable things from a place	NEW_PAIR_REL
18980	Y	ing	FALSE		logroll	logrolling	event	eng-30-02375902-v	work toward the passage of some legislation by exchanging political favors such as trading votes	eng-30-01110063-n	act of exchanging favors for mutual gain; especially trading of influence or votes among legislators to gain passage of certain projects	NEW_PAIR_REL
18983	Y	ing	FALSE		happen	happening	event	eng-30-00339934-v	come to pass	eng-30-07283608-n	an event that happens	NEW_PAIR_REL
18984	Y	our	FALSE		clang	clangour	event	eng-30-02174115-v	make a loud noise	eng-30-07380144-n	a loud resonant repeating noise	NEW_LIT_PAIR_KNOWN_REL
18985	Y	ance	FALSE		deviate	deviance	event	eng-30-02661252-v	be at variance with; be out of line with	eng-30-00737399-n	deviate behavior	NEW_LIT_PAIR_KNOWN_REL
18986	Y	ise	FALSE		itemise	item	property	eng-30-00946105-v	specify individually	eng-30-13809920-n	a small part that can be considered separately from the whole	NEW_PAIR_REL
